source,method,k,n_dims,digit_eta_max,digit_eta_mean,digit_eta_n_above,digit_eta_null,b_raw_max,b_partial_max,rot_circular_max,rot_naive_max,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,rot_r2_linreg,rot_r2_mlp
FastICA,residA,44,20,0.053552266337050965,0.038350403571775285,0,0.030001500112509374,0.025694940125488994,0.02637092031316722,0.03543641506808536,0.033473582615037085,0.1191,0.1229,0.0007194551336047184,0.028534762498621413,0.001071271172631283,-0.10949813772999994
FastICA,residA,51,13,0.04605337643688118,0.03759935621080922,0,0.030001500112509374,0.014327622269577104,0.014695962270695147,0.03543641506808536,0.033473582615037085,0.1121,0.1163,0.00021700285389525398,0.042309310441691395,0.0002914622545023837,-0.05457137230991016
FastICA,residA,57,7,0.040693725841563305,0.035911863382211785,0,0.030001500112509374,0.014327622269577104,0.014352706246659287,0.03543641506808536,0.033473582615037085,0.1121,0.1116,3.285755535298307e-05,0.03346578698397851,-0.0004654720498349363,-0.016785432433109815
FastICA,residA,63,1,0.02937066362886094,0.02937066362886094,0,0.030001500112509374,0.014327622269577104,0.014352706246659318,0.03192441778860606,0.011365344995721642,0.1135,0.1136,6.56510312535552e-05,-0.00012052529683992397,-0.0010977346506477748,-0.00021709322198693037
iVAE-cond,residB,0,64,0.8357609217138872,0.42608396624917844,40,0.030001500112509374,0.5098450559866868,0.5100143501247059,0.5536356234358338,0.5155875431645157,0.5224,0.9991,0.960835908702242,0.9895886681234006,0.5947456342048598,0.9042554399434815
iVAE-cond,residA,1,63,0.9880601253076093,0.7080962605659464,63,0.030001500112509374,0.45851594682016383,0.5021739403789676,0.528306597707976,0.4816102054284365,0.9584,0.9944,0.9606391203923249,0.9913341084338225,0.6586290407335456,0.9190392945011855
iVAE-cond,residA,7,57,0.9556088913604736,0.679637069085399,57,0.030001500112509374,0.45851594682016383,0.5021739403789676,0.528306597707976,0.4816102054284365,0.9502,0.9931,0.9606492990177452,0.9914098230251774,0.6585347164364591,0.9098632038179163
iVAE-cond,residA,13,51,0.9313562280295482,0.6484191150512919,51,0.030001500112509374,0.45851594682016383,0.5021739403789676,0.528306597707976,0.4816102054284365,0.9489,0.9921,0.9606378673165832,0.9898927082117914,0.6585533478962999,0.9140781799752437
iVAE-cond,residA,20,44,0.839098947800556,0.6066444375617017,44,0.030001500112509374,0.45851594682016383,0.5021739403789676,0.528306597707976,0.4816102054284365,0.9478,0.9922,0.9605702384170858,0.9912374681054369,0.6584826039624195,0.9223505653568665
iVAE-cond,residA,26,38,0.8036590423635529,0.5739237603083763,38,0.030001500112509374,0.45851594682016383,0.5021739403789676,0.528306597707976,0.4816102054284365,0.9155,0.9875,0.9600248008685379,0.991762378263851,0.6510358988372427,0.9209932507206411
iVAE-cond,residA,32,32,0.7611486702978374,0.5337256448307771,32,0.030001500112509374,0.45851594682016383,0.5021739403789676,0.528306597707976,0.4816102054284365,0.9157,0.9834,0.960024754219484,0.9894890847668103,0.6510359026197117,0.9265129287506882
iVAE-cond,residA,38,26,0.7056525393620927,0.486615567002116,26,0.030001500112509374,0.45851594682016383,0.5021739403789676,0.528306597707976,0.4816102054284365,0.8611,0.9668,0.9594410815017764,0.989306478023718,0.6252724238365157,0.876149325974605
