source,method,k,n_dims,z_pearson_max,z_pearson_mean,z_pearson_n_above,z_pearson_null,z_spearman_max,z_spearman_mean,z_spearman_n_above,z_spearman_null,logM*_raw_max,logM*_partial_max,logSFR_raw_max,logSFR_partial_max,A_v_raw_max,A_v_partial_max,z_r2_linreg,z_r2_mlp,logM*_r2_mlp,logSFR_r2_mlp,A_v_r2_mlp
FastICA,residA,9,1,0.008920963605689258,0.008920963605689258,0,0.004816998156455678,9.418594576461001e-05,9.418594576461001e-05,0,0.004816998156455678,0.1630655480087862,0.2647603287450348,0.009540228024888521,0.009637635118196097,0.29840044024808837,0.2984834595721337,-3.0002025867448268e-05,0.03020317469759559,0.11572059913559807,0.04483319699739119,0.19500261537981656
iVAE,residA,1,9,0.454775417654939,0.19711164941700843,5,0.004816998156455678,0.45117410690792464,0.20125693678626166,6,0.004816998156455678,0.7157075437576492,0.6555557364379854,0.5253557408919554,0.5834750985119743,0.5868710393620672,0.5866276934090422,0.38750202912508247,0.5041541697325557,0.7743720634410157,0.6034825978318124,0.5670950717829613
iVAE,residA,2,8,0.3934492984453668,0.1649036783872671,4,0.004816998156455678,0.423054771477613,0.1700172905210538,5,0.004816998156455678,0.38788940602142913,0.10697616721356035,0.5253557408919554,0.5335993553108797,0.5868710393620672,0.5866276934090422,0.2750562450162328,0.375359166951275,0.4011712017158995,0.4217458826744368,0.5177953767518535
iVAE,residA,3,7,0.3350227535173489,0.13225430409325287,3,0.004816998156455678,0.3399448368279766,0.13386907895583106,4,0.004816998156455678,0.20595719432925658,0.10697616721356035,0.5253557408919554,0.5335993553108797,0.5868710393620672,0.5866276934090422,0.16191781392160087,0.2360165750140214,0.30403047062806177,0.4074806365808177,0.500877392968254
iVAE,residA,4,6,0.1885499811441021,0.0984595625225702,2,0.004816998156455678,0.21842318106089403,0.09952311931047347,3,0.004816998156455678,0.150725965255653,0.07495517421954742,0.5253557408919554,0.5335993553108797,0.5868710393620672,0.5866276934090422,0.06528385232729517,0.15465056249978137,0.26414692768518844,0.3950297346112356,0.4875365437311545
iVAE,residA,6,4,0.09575579080266085,0.06773508260252992,0,0.004816998156455678,0.10369416079988332,0.060339466719809914,1,0.004816998156455678,0.10249226807791957,0.07495517421954742,0.5253557408919554,0.5335993553108797,0.5868710393620672,0.5866276934090422,0.01832768717645694,0.026864121381410033,0.13479241320689983,0.33526112231340766,0.4513153947598907
iVAE,residA,7,3,0.07710431883677221,0.05839484653581961,0,0.004816998156455678,0.07319758803292364,0.04588790202645212,0,0.004816998156455678,0.10249226807791957,0.07495517421954742,0.5253557408919554,0.5335993553108797,0.5868710393620672,0.5866276934090422,0.010374673649126587,-0.0007304600166857522,0.10393437194255561,0.33171672318788625,0.45101578664717745
iVAE,residA,8,2,0.05130389615764111,0.04904011038534331,0,0.004816998156455678,0.03902458286581901,0.03223305902321635,0,0.004816998156455678,0.07686173799196398,0.07495517421954742,0.5253557408919554,0.5335993553108797,0.5868710393620672,0.5866276934090422,0.004470004159525809,-0.019679711236460617,0.08066657156335344,0.32256860160482437,0.4435964878508105
iVAE,residA,9,1,0.046776324613045504,0.046776324613045504,0,0.004816998156455678,0.025441535180613685,0.025441535180613685,0,0.004816998156455678,0.023873797115409642,0.07137064107431583,0.5253557408919554,0.5335993553108815,0.5868710393620672,0.5866276934090456,0.002093508497100105,0.007401041599681912,0.012454494004090488,0.2725172197331057,0.42747116910244676
Resid-linear,direct,0,10,0.010805617202158663,0.004976398477330867,0,0.004816998156455678,0.123229179945439,0.0358503415284978,1,0.004816998156455678,0.3849846138387467,0.635414956960401,0.6380493639766056,0.6320708352145756,0.5415711341280608,0.5487687651272942,-8.05759566624431e-06,0.6073088303663717,0.7302602172309391,0.66316198091371,0.5657688179718445
Resid-mlp,direct,0,10,0.02350939791950566,0.009825438749362224,0,0.004816998156455678,0.0732960229033245,0.02642059682519347,0,0.004816998156455678,0.3936311625431472,0.6640876930011801,0.6108434115309334,0.60811442961793,0.5412154355478538,0.5411568140580194,0.0007657619610196287,0.6015627073043247,0.6934802964985586,0.6626587862468085,0.5713789983820652
Resid-rf,direct,0,10,0.005273975666829685,0.0023452580866292036,0,0.004816998156455678,0.0271932774227399,0.009717936952140155,0,0.004816998156455678,0.3287240573012419,0.5424765171836976,0.48476252489841865,0.48561780917935526,0.43233447730612656,0.4323844609221238,-0.0002739054286884368,-0.40518928753905326,-0.2136553249970865,0.022426368897093818,-0.04029132548840564
Flower-cond,embedding,0,10,0.06198320105911585,0.03227069834724386,0,0.004816998156455678,0.04182164984517874,0.024064502701789923,0,0.004816998156455678,0.2880845866985563,0.4347501426046807,0.43689932077352434,0.43688333910742766,0.43374970548050773,0.4347877656429449,0.010747411721240385,0.028307263608084332,0.2503719034956461,0.577363310089314,0.5118711766229898
Flower-uncond,embedding,0,10,0.367338280843988,0.1528086176952908,6,0.004816998156455678,0.37812625008928064,0.16169018343948144,6,0.004816998156455678,0.506696229739592,0.39477920866310906,0.46874725358931774,0.47077371956275416,0.4470619017496297,0.44762800040018846,0.40398673821494413,0.5340816989522107,0.7968816924852797,0.6483933327787353,0.5668883450854727
